iter	Passed	Remaining
700	55706	103227
701	55791	103159
702	55873	103083
703	55954	103006
704	56044	102946
705	56119	102858
706	56193	102769
707	56266	102678
708	56348	102603
709	56431	102529
710	56502	102435
711	56582	102357
712	56663	102279
713	56735	102187
714	56810	102100
715	56900	102040
716	56987	101973
717	57065	101891
718	57146	101814
719	57225	101734
720	57301	101647
721	57384	101574
722	57461	101491
723	57543	101417
724	57631	101351
725	57721	101290
726	57804	101217
727	57881	101132
728	57972	101073
729	58055	101000
730	58136	100923
731	58209	100833
732	58297	100767
733	58379	100693
734	58454	100604
735	58547	100549
736	58623	100463
737	58697	100374
738	58777	100295
739	58853	100209
740	58936	100136
741	59020	100063
742	59096	99978
743	59178	99903
744	59276	99855
745	59370	99799
746	59490	99787
747	59571	99710
748	59663	99652
749	59761	99602
750	59847	99532
751	59929	99458
752	60008	99377
753	60076	99277
754	60155	99196
755	60235	99118
756	60300	99013
757	60384	98941
758	60455	98847
759	60528	98757
760	60599	98664
761	60670	98569
762	60752	98494
763	60827	98406
764	60907	98327
765	60991	98254
766	61069	98173
767	61152	98099
768	61231	98017
769	61303	97925
770	61392	97860
771	61466	97772
772	61532	97672
773	61610	97588
774	61671	97480
775	61746	97394
776	61832	97325
777	61912	97245
778	61983	97152
779	62053	97057
780	62133	96979
781	62218	96907
782	62297	96827
783	62372	96741
784	62462	96677
785	62548	96607
786	62632	96535
787	62705	96445
788	62785	96366
789	62867	96291
790	62943	96206
791	63024	96127
792	63091	96030
793	63169	95947
794	63250	95869
795	63334	95798
796	63421	95729
797	63506	95658
798	63587	95579
799	63673	95510
800	63770	95456
801	63856	95386
802	63940	95313
803	64016	95227
804	64108	95167
805	64193	95096
806	64268	95008
807	64344	94924
808	64419	94837
809	64495	94752
810	64567	94661
811	64641	94573
812	64711	94479
813	64791	94402
814	64881	94336
815	64965	94263
816	65051	94192
817	65132	94115
818	65209	94032
819	65285	93947
820	65361	93862
821	65441	93783
822	65512	93692
823	65585	93602
824	65664	93522
825	65742	93440
826	65822	93361
827	65906	93288
828	65973	93191
829	66042	93095
830	66115	93007
831	66195	92928
832	66272	92845
833	66344	92755
834	66415	92663
835	66505	92598
836	66589	92525
837	66660	92434
838	66758	92379
839	66844	92309
840	66923	92229
841	67004	92150
842	67084	92071
843	67154	91979
844	67231	91896
845	67323	91833
846	67403	91754
847	67473	91662
848	67559	91591
849	67633	91503
850	67703	91411
851	67788	91339
852	67858	91247
853	67945	91177
854	68018	91088
855	68094	91005
856	68181	90935
857	68263	90858
858	68340	90775
859	68432	90713
860	68513	90634
861	68602	90568
862	68688	90496
863	68770	90420
864	68857	90350
865	68938	90272
866	69019	90195
867	69100	90117
868	69178	90035
869	69265	89966
870	69338	89877
871	69434	89819
872	69514	89739
873	69590	89655
874	69663	89567
875	69749	89496
876	69824	89410
877	69906	89333
878	69988	89257
879	70071	89182
880	70151	89103
881	70221	89011
882	70293	88921
883	70363	88830
884	70451	88760
885	70540	88692
886	70616	88608
887	70689	88520
888	70772	88446
889	70857	88372
890	70940	88297
891	71018	88215
892	71092	88129
893	71164	88040
894	71241	87957
895	71322	87879
896	71403	87801
897	71487	87727
898	71561	87641
899	71636	87555
900	71702	87459
901	71773	87369
902	71855	87292
903	71937	87216
904	72018	87137
905	72099	87060
906	72186	86989
907	72275	86921
908	72357	86845
909	72438	86766
910	72510	86678
911	72604	86615
912	72683	86535
913	72772	86466
914	72867	86405
915	72953	86333
916	73031	86252
917	73104	86164
918	73189	86090
919	73257	85997
920	73350	85934
921	73422	85845
922	73508	85773
923	73586	85691
